organization_name,website,city,state,status,owner,assigned_to,next_step,next_follow_up,notes
Howard University,https://www.howard.edu,Washington,DC,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated (CAE-CD); cybersecurity and information assurance programs; DC metro workforce pipeline"
Spelman College,https://www.spelman.edu,Atlanta,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; STEM and data science initiatives; Atlanta university corridor; workforce development focus"
Morehouse College,https://www.morehouse.edu,Atlanta,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; cybersecurity certificate and technology programs; Atlanta HBCU cluster"
Hampton University,https://www.hamptonu.edu,Hampton,VA,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; cybersecurity and information assurance; Hampton Roads defense ecosystem"
Florida A&M University,https://www.famu.edu,Tallahassee,FL,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; public HBCU flagship; cyber and workforce pathways"
Tuskegee University,https://www.tuskegee.edu,Tuskegee,AL,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; STEM and workforce development; historic engineering institution"
North Carolina A&T State University,https://www.ncat.edu,Greensboro,NC,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; largest public HBCU; NSA CAE-designated; engineering and cyber programs"
Morgan State University,https://www.morgan.edu,Baltimore,MD,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; Baltimore cyber workforce corridor"
Tennessee State University,https://www.tnstate.edu,Nashville,TN,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; Nashville regional workforce and tech hub"
Jackson State University,https://www.jsums.edu,Jackson,MS,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; public HBCU with IT and cyber coursework"
Prairie View A&M University,https://www.pvamu.edu,Prairie View,TX,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Texas A&M System; engineering and workforce development"
Bowie State University,https://www.bowiestate.edu,Bowie,MD,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; Maryland DC-metro cyber corridor"
Clark Atlanta University,https://www.cau.edu,Atlanta,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Atlanta university corridor; business and technology programs"
Xavier University of Louisiana,https://www.xula.edu,New Orleans,LA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; STEM and health sciences; Gulf Coast workforce region"
Oakwood University,https://www.oakwood.edu,Huntsville,AL,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Huntsville defense and aerospace workforce region"
Norfolk State University,https://www.nsu.edu,Norfolk,VA,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; Hampton Roads military and cyber ecosystem"
Delaware State University,https://www.desu.edu,Dover,DE,Prospect,,,Initial outreach,,"Fit: 10/10; HBCU; NSA CAE-designated; Delaware workforce and cyber initiatives"
Alabama A&M University,https://www.aamu.edu,Normal,AL,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Huntsville-area STEM pipeline; engineering and agriculture technology"
Texas Southern University,https://www.tsu.edu,Houston,TX,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Houston metro workforce and technology programs"
Alabama State University,https://www.alasu.edu,Montgomery,AL,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Montgomery regional workforce and continuing education"
North Carolina Central University,https://www.nccu.edu,Durham,NC,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Research Triangle proximity; biomanufacturing and IT programs"
South Carolina State University,https://www.scsu.edu,Orangeburg,SC,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; NSA CAE-designated; Orangeburg regional workforce hub"
Grambling State University,https://www.gram.edu,Grambling,LA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Louisiana workforce development; computer science programs"
Southern University and A&M College,https://www.subr.edu,Baton Rouge,LA,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Louisiana flagship HBCU system; engineering and technology"
Fayetteville State University,https://www.uncfsu.edu,Fayetteville,NC,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Fort Liberty defense corridor; cybersecurity and data science"
Winston-Salem State University,https://www.wssu.edu,Winston-Salem,NC,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Piedmont Triad workforce; health sciences and IT"
Elizabeth City State University,https://www.ecsu.edu,Elizabeth City,NC,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; NSA CAE-designated; coastal North Carolina cyber pipeline"
Savannah State University,https://www.savannahstate.edu,Savannah,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Port City workforce; marine science and technology"
Albany State University,https://www.asurams.edu,Albany,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Southwest Georgia workforce development"
Fort Valley State University,https://www.fvsu.edu,Fort Valley,GA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Central Georgia agriculture and technology programs"
Virginia State University,https://www.vsu.edu,Petersburg,VA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Central Virginia workforce; engineering technology"
Virginia Union University,https://www.vuu.edu,Richmond,VA,Prospect,,,Initial outreach,,"Fit: 7/10; HBCU; Richmond capital region; liberal arts with STEM pathways"
Coppin State University,https://www.coppin.edu,Baltimore,MD,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Baltimore urban workforce; education and health sciences"
University of Maryland Eastern Shore,https://www.umes.edu,Princess Anne,MD,Prospect,,,Initial outreach,,"Fit: 9/10; HBCU; Maryland 1890 land-grant; aviation science and technology"
Lincoln University,https://www.lincoln.edu,Lincoln University,PA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; First degree-granting HBCU; STEM and workforce programs"
