organization_name,website,city,state,status,owner,assigned_to,next_step,next_follow_up,notes
Howard University,https://www.howard.edu,Washington,DC,Prospect,,,,,"HBCU; NSA CAE-designated; cybersecurity and workforce development programs"
Spelman College,https://www.spelman.edu,Atlanta,GA,Prospect,,,,,"HBCU; STEM and data science initiatives; Atlanta university corridor"
Morehouse College,https://www.morehouse.edu,Atlanta,GA,Prospect,,,,,"HBCU; cybersecurity certificate programs; Atlanta university corridor"
Hampton University,https://www.hamptonu.edu,Hampton,VA,Prospect,,,,,"HBCU; NSA CAE-designated; cybersecurity and information assurance"
Florida A&M University,https://www.famu.edu,Tallahassee,FL,Prospect,,,,,"HBCU; NSA CAE-designated; public HBCU with cyber and workforce pathways"
Tuskegee University,https://www.tuskegee.edu,Tuskegee,AL,Prospect,,,,,"HBCU; NSA CAE-designated; STEM and workforce development focus"
North Carolina A&T State University,https://www.ncat.edu,Greensboro,NC,Prospect,,,,,"HBCU; largest public HBCU; NSA CAE-designated; engineering and cyber programs"
Morgan State University,https://www.morgan.edu,Baltimore,MD,Prospect,,,,,"HBCU; NSA CAE-designated; Baltimore workforce and cyber pipeline"
Tennessee State University,https://www.tnstate.edu,Nashville,TN,Prospect,,,,,"HBCU; NSA CAE-designated; Nashville regional workforce hub"
Jackson State University,https://www.jsums.edu,Jackson,MS,Prospect,,,,,"HBCU; NSA CAE-designated; public HBCU with IT and cyber coursework"
Prairie View A&M University,https://www.pvamu.edu,Prairie View,TX,Prospect,,,,,"HBCU; Texas A&M System; engineering and workforce development"
Bowie State University,https://www.bowiestate.edu,Bowie,MD,Prospect,,,,,"HBCU; NSA CAE-designated; Maryland cyber workforce corridor"
Clark Atlanta University,https://www.cau.edu,Atlanta,GA,Prospect,,,,,"HBCU; Atlanta university corridor; business and technology programs"
Xavier University of Louisiana,https://www.xula.edu,New Orleans,LA,Prospect,,,,,"HBCU; STEM and health sciences; Gulf Coast workforce region"
Oakwood University,https://www.oakwood.edu,Huntsville,AL,Prospect,,,,,"HBCU; Huntsville defense and aerospace workforce region"
Norfolk State University,https://www.nsu.edu,Norfolk,VA,Prospect,,,,,"HBCU; NSA CAE-designated; Hampton Roads military and cyber ecosystem"
Delaware State University,https://www.desu.edu,Dover,DE,Prospect,,,,,"HBCU; NSA CAE-designated; Delaware workforce and cyber initiatives"
Alabama A&M University,https://www.aamu.edu,Normal,AL,Prospect,,,,,"HBCU; Huntsville-area STEM pipeline; engineering and agriculture tech"
Texas Southern University,https://www.tsu.edu,Houston,TX,Prospect,,,,,"HBCU; Houston metro workforce and technology programs"
Alabama State University,https://www.alasu.edu,Montgomery,AL,Prospect,,,,,"HBCU; Montgomery regional workforce and continuing education"
Northern Virginia Community College,https://www.nvcc.edu,Annandale,VA,Prospect,,,,,"Community college; NSA CAE-designated (2-year); DC metro cyber workforce"
Miami Dade College,https://www.mdc.edu,Miami,FL,Prospect,,,,,"Community college; NSA CAE-designated (2-year); large enrollment; workforce certificates"
Lone Star College,https://www.lonestar.edu,The Woodlands,TX,Prospect,,,,,"Community college; NSA CAE-designated (2-year); Houston metro workforce hub"
Montgomery College,https://www.montgomerycollege.edu,Rockville,MD,Prospect,,,,,"Community college; NSA CAE-designated (2-year); Maryland cyber corridor"
Austin Community College,https://www.austincc.edu,Austin,TX,Prospect,,,,,"Community college; NSA CAE-designated (2-year); Austin tech workforce pipeline"
Delaware Technical Community College,https://www.dtcc.edu,Dover,DE,Prospect,,,,,"Community college; NSA CAE-designated (2-year); statewide workforce programs"
Wake Technical Community College,https://www.waketech.edu,Raleigh,NC,Prospect,,,,,"Community college; NSA CAE-designated (2-year); Research Triangle workforce"
Sinclair Community College,https://www.sinclair.edu,Dayton,OH,Prospect,,,,,"Community college; NSA CAE-designated (2-year); Ohio workforce development"
Houston Community College,https://www.hccs.edu,Houston,TX,Prospect,,,,,"Community college; large Texas system; workforce and continuing education"
Valencia College,https://www.valenciacollege.edu,Orlando,FL,Prospect,,,,,"Community college; Orlando metro workforce and tech certificates"
Georgia Institute of Technology,https://www.gatech.edu,Atlanta,GA,Prospect,,,,,"State university; NSA CAE-designated; top-tier cyber research and workforce programs"
University of Maryland Baltimore County,https://www.umbc.edu,Baltimore,MD,Prospect,,,,,"State university; NSA CAE-designated (CAE-R); cyber defense and research"
Virginia Tech,https://www.vt.edu,Blacksburg,VA,Prospect,,,,,"State university; NSA CAE-designated; engineering and cybersecurity institute"
University of Texas at San Antonio,https://www.utsa.edu,San Antonio,TX,Prospect,,,,,"State university; NSA CAE-designated; large cyber security program"
Arizona State University,https://www.asu.edu,Tempe,AZ,Prospect,,,,,"State university; NSA CAE-designated; workforce and innovation initiatives"
Purdue University,https://www.purdue.edu,West Lafayette,IN,Prospect,,,,,"State university; NSA CAE-designated; cyberTAP and workforce training"
University of Florida,https://www.ufl.edu,Gainesville,FL,Prospect,,,,,"State university; NSA CAE-designated; Florida public flagship"
Pennsylvania State University,https://www.psu.edu,University Park,PA,Prospect,,,,,"State university; NSA CAE-designated; statewide workforce and extension"
University of Washington,https://www.washington.edu,Seattle,WA,Prospect,,,,,"State university; NSA CAE-designated; Pacific Northwest tech workforce"
George Mason University,https://www.gmu.edu,Fairfax,VA,Prospect,,,,,"State university; NSA CAE-designated; DC metro cyber and policy programs"
University of South Florida,https://www.usf.edu,Tampa,FL,Prospect,,,,,"State university; NSA CAE-designated; Florida cyber workforce corridor"
San Diego State University,https://www.sdsu.edu,San Diego,CA,Prospect,,,,,"State university; NSA CAE-designated; Southern California workforce hub"
University of North Carolina at Charlotte,https://www.charlotte.edu,Charlotte,NC,Prospect,,,,,"State university; NSA CAE-designated; Charlotte fintech and cyber growth market"
Kennesaw State University,https://www.kennesaw.edu,Kennesaw,GA,Prospect,,,,,"State university; NSA CAE-designated; Atlanta metro workforce programs"
University of Texas at Dallas,https://www.utdallas.edu,Richardson,TX,Prospect,,,,,"State university; NSA CAE-designated; Dallas tech corridor"
Rochester Institute of Technology,https://www.rit.edu,Rochester,NY,Prospect,,,,,"Private university; NSA CAE-designated; applied cyber and workforce certificates"
Northeastern University,https://www.northeastern.edu,Boston,MA,Prospect,,,,,"Private university; NSA CAE-designated; co-op and workforce development model"
Clemson University,https://www.clemson.edu,Clemson,SC,Prospect,,,,,"State university; NSA CAE-designated; South Carolina cyber initiative"
University of Alabama at Birmingham,https://www.uab.edu,Birmingham,AL,Prospect,,,,,"State university; NSA CAE-designated; healthcare and cyber workforce region"
California State University San Bernardino,https://www.csusb.edu,San Bernardino,CA,Prospect,,,,,"State university; NSA CAE-designated; Inland Empire workforce development"
